timestamp,cpu_usage,memory_usage
1747829924,34543000,2019328
1747829925,17995600,933888
1747829926,33594000,1703936
1747829927,95258300,11038720
1747829928,20593300,1257472
1747829929,200555100,13275136
1747829930,182922300,12787712
1747829931,196490600,13750272
1747829932,202168700,13426688
1747829933,218819900,12877824
1747829934,675946100,13271040
1747829935,225706700,12828672
1747829936,210793300,12886016
1747829937,247746500,13127680
1747829938,242586800,12312576
1747829939,231748200,12541952
1747829940,266151100,12656640
1747829941,280368500,12836864
1747829942,270731200,12349440
1747829943,349822700,19873792
1747829944,941930400,23867392
1747829945,473620200,23420928
1747829946,493220300,24338432
1747829947,535665900,23928832
1747829948,512547100,24408064
1747829949,537028300,24514560
1747829950,520077000,24342528
1747829951,555602300,24150016
1747829952,536249500,24584192
1747829953,675026300,33644544
1747829954,1381909800,38133760
1747829955,701089400,38543360
1747829956,691629100,40091648
1747829957,712672700,40853504
1747829958,705511900,41857024
1747829959,237920500,30072832
1747829960,1228254300,43868160
1747829961,737279700,44326912
1747829962,735447500,45768704
1747829963,752007700,46379008
1747829964,1490086400,48877568
1747829965,750187600,49106944
1747829966,754089600,55873536
1747829967,737247200,53161984
1747829968,719070200,53719040
1747829970,1468968800,55439360
1747829971,738589600,55394304
1747829972,732045700,56979456
1747829973,744548800,56938496
1747829974,1449310100,60825600
1747829975,696315200,61415424
1747829976,740362400,62558208
1747829977,724076600,63266816
1747829978,713544500,63512576
1747829979,718011400,64204800
1747829980,721470000,67104768
1747829981,712726400,64933888
1747829982,729098100,65949696
1747829983,716416200,66211840
1747829984,1007489600,67657728
1747829985,395427200,67317760
1747829986,376787100,67215360
1747829987,366463500,67870720
1747829988,351000500,68427776
1747829989,361671200,67395584
1747829990,407191500,67944448
1747829991,453934500,67997696
1747829992,12673500,67944448
1747829993,62000,67944448
1747829994,0,67944448
1747829995,461997800,68079616
1747829996,144113400,68481024
1747829997,0,68407296
1747829998,0,68407296
1747829999,0,68407296
1747830000,499023900,69390336
1747830001,475361000,72486912
1747830002,483857500,70746112
1747830003,311672000,70389760
1747830004,495813500,71397376
1747830005,471303800,73445376
1747830006,480877000,71438336
1747830007,466933900,75124736
1747830008,462414100,72601600
1747830009,667262200,73338880
1747830010,469116700,73990144
1747830011,470458500,76640256
1747830012,468122600,74608640
1747830013,477745200,74756096
1747830014,1416693700,76845056
1747830015,742780400,78114816
1747830016,471223000,78090240
1747830017,460998600,78790656
1747830018,553520300,79507456
1747830019,752969500,81510400
1747830020,730854000,81698816
1747830021,760083900,82825216
1747830022,633585500,83017728
1747830023,561406400,83456000
1747830024,1536371300,85569536
1747830025,753099300,86503424
1747830026,744521200,86888448
1747830027,683588900,88317952
1747830028,748120200,89464832
1747830029,769347900,89858048
1747830030,785732700,92172288
1747830031,764311800,92594176
1747830032,622447200,93138944
1747830033,779633900,94482432
1747830034,1466040000,95596544
1747830035,746729900,97021952
1747830036,618980000,96436224
1747830037,720905700,97673216
1747830038,738852200,99180544
1747830039,734286500,102146048
1747830040,737226300,99368960
1747830041,630421700,100229120
1747830042,724312000,100237312
1747830043,748052900,102109184
1747830044,870153300,102572032
1747830045,393034800,102346752
1747830046,605249900,102445056
1747830047,426180000,103464960
1747830048,412314400,102727680
1747830049,356647800,102834176
1747830050,361285500,103469056
1747830051,475376600,102842368
1747830052,399568700,102133760
1747830053,361986600,102400000
1747830054,715178300,103047168
1747830055,374124800,102965248
1747830056,474164400,104984576
1747830057,350665100,103444480
1747830058,0,103428096
1747830059,0,103428096
1747830060,236528500,105267200
1747830061,465360800,105144320
1747830062,481663800,105631744
1747830063,369898100,104976384
1747830064,763222000,105947136
1747830065,458025800,107798528
1747830066,476886700,106078208
1747830067,469590200,106905600
1747830068,465783600,106844160
1747830069,485599100,106393600
1747830070,700227300,108384256
1747830071,472557600,109043712
1747830072,466650800,109367296
1747830073,461816000,109051904
1747830074,1229058000,110759936
1747830075,679808300,112201728
1747830076,546110600,113025024
1747830077,73790200,113172480
1747830078,53253400,114003968
1747830079,200089600,114741248
1747830080,182312500,116002816
1747830081,156766700,122748928
1747830082,267568000,128774144
1747830083,134962000,129830912
1747830084,292794800,131252224
1747830085,146805400,113807360
1747830086,309332900,126885888
1747830087,246306600,126906368
1747830088,147613600,127660032
1747830089,147446700,128565248
1747830090,140373700,129294336
1747830091,153566300,118747136
1747830092,226492500,131371008
1747830093,148305900,131919872
1747830094,302180900,133840896
1747830095,152581100,134529024
1747830096,183021800,129499136
1747830097,180679200,135557120
1747830098,152443200,136417280
1747830099,161656500,137093120
1747830100,160638800,138153984
1747830101,150525300,126922752
1747830102,417376900,139915264
1747830103,632880700,140431360
1747830104,1308862400,142528512
1747830105,634932200,142831616
1747830106,228173900,132571136
1747830107,139051900,133746688
1747830108,143334900,134131712
1747830109,149312400,134352896
1747830110,149744500,135188480
1747830111,413993700,145354752
1747830112,357290400,146079744
1747830113,287824700,147628032
1747830114,154816300,148328448
1747830115,167986200,137007104
1747830116,237280500,148848640
1747830117,673578100,150716416
1747830118,660994900,150507520
1747830119,234606000,151728128
1747830120,160785500,152117248
1747830121,164458000,143286272
1747830122,147607600,143876096
1747830123,155953100,144916480
1747830124,1037866400,156897280
1747830125,684403700,157478912
1747830126,656167800,158248960
1747830127,653936500,158449664
1747830128,488710800,147034112
1747830129,154227100,147914752
1747830130,153454000,148283392
1747830131,155940700,149045248
1747830132,159829500,149872640
1747830133,177264900,156356608
1747830134,1153153500,164704256
1747830135,152999600,165273600
1747830136,148798800,165773312
1747830137,163835400,156274688
1747830138,165878100,157081600
1747830139,178312300,162959360
1747830140,337470300,166408192
1747830141,148574100,166879232
1747830142,148445900,167546880
1747830143,148751800,168009728
1747830144,365673100,168607744
1747830145,146315300,169254912
1747830146,159264300,169230336
1747830147,148717600,169791488
1747830148,150663800,169754624
1747830149,163399100,161366016
