timestamp,hyperfaas-thumbnailer-json:latest,hyperfaas-bfs-json:latest,hyperfaas-echo:latest,hyperfaas-thumbnailer-json:latest_active_calls,hyperfaas-bfs-json:latest_active_calls,hyperfaas-echo:latest_active_calls
1747834358,0,0,0,0,0,0
1747834359,0,0,0,0,0,0
1747834360,0,0,0,0,0,0
1747834361,0,0,0,0,0,0
1747834362,0,1,0,0,1,0
1747834363,0,-1,0,0,0,0
1747834364,0,0,0,0,0,0
1747834365,0,0,0,0,0,0
1747834366,0,0,0,0,0,0
1747834367,0,0,0,0,0,0
1747834368,1,0,0,1,0,0
1747834369,-1,0,0,0,0,0
1747834370,1,-1,1,1,-1,1
1747834371,-1,1,0,0,0,1
1747834372,0,-1,-1,0,-1,0
1747834373,0,0,0,0,-1,0
1747834374,0,1,1,0,0,1
1747834375,-1,-1,-1,-1,-1,0
1747834376,0,2,0,-1,1,0
1747834377,1,-1,0,0,0,0
1747834378,-1,0,0,-1,0,0
1747834379,0,1,0,-1,1,0
1747834380,1,-1,0,0,0,0
1747834381,0,1,0,0,1,0
1747834382,-1,-1,0,-1,0,0
1747834383,0,0,0,-1,0,0
1747834384,0,0,0,-1,0,0
1747834385,2,0,1,1,0,1
1747834386,-1,2,-1,0,2,0
1747834387,0,-1,0,0,1,0
1747834388,0,1,1,0,2,1
1747834389,0,0,-1,0,2,0
1747834390,0,1,0,0,3,0
1747834391,1,-1,0,1,2,0
1747834392,-1,0,0,0,2,0
1747834393,0,1,1,0,3,1
1747834394,0,-1,0,0,2,1
1747834395,0,-1,0,0,1,1
1747834396,1,0,-1,1,1,0
1747834397,-1,-1,0,0,0,0
1747834398,1,0,0,1,0,0
1747834399,-1,1,0,0,1,0
1747834400,1,-2,0,1,-1,0
1747834401,-1,0,0,0,-1,0
1747834402,0,0,0,0,-1,0
1747834403,0,0,0,0,-1,0
1747834404,0,1,0,0,0,0
1747834405,0,0,1,0,0,1
1747834406,0,-1,-1,0,-1,0
1747834407,0,1,0,0,0,0
1747834408,0,-1,0,0,-1,0
1747834409,0,0,0,0,-1,0
1747834410,0,1,0,0,0,0
1747834411,0,0,0,0,0,0
1747834412,0,1,0,0,1,0
1747834413,0,-1,0,0,0,0
1747834414,0,1,0,0,1,0
1747834415,0,0,0,0,1,0
1747834416,0,0,0,0,1,0
1747834417,0,-1,0,0,0,0
1747834418,0,1,0,0,1,0
1747834419,0,-1,0,0,0,0
1747834420,0,-1,0,0,-1,0
1747834421,0,2,0,0,1,0
1747834422,0,-1,0,0,0,0
1747834423,0,0,0,0,0,0
1747834424,0,0,0,0,0,0
1747834425,0,1,1,0,1,1
1747834426,0,1,-1,0,2,0
1747834427,1,1,0,1,3,0
1747834428,-1,-1,1,0,2,1
1747834429,0,0,-1,0,2,0
1747834430,1,0,0,1,2,0
1747834431,-1,-1,1,0,1,1
1747834432,1,0,0,1,1,1
1747834433,-1,-1,-1,0,0,0
1747834434,0,1,1,0,1,1
1747834435,0,-2,0,0,-1,1
1747834436,0,0,-1,0,-1,0
1747834437,0,0,1,0,-1,1
1747834438,0,0,-1,0,-1,0
1747834439,0,0,0,0,-1,0
1747834440,0,2,0,0,1,0
1747834441,0,0,0,0,1,0
1747834442,0,0,0,0,1,0
1747834443,0,-1,0,0,0,0
1747834444,0,0,0,0,0,0
1747834445,0,0,0,0,0,0
1747834446,0,0,0,0,0,0
1747834447,0,1,0,0,1,0
1747834448,0,0,0,0,1,0
1747834449,0,0,0,0,1,0
1747834450,0,-1,0,0,0,0
1747834451,0,-1,0,0,-1,0
1747834452,0,0,0,0,-1,0
1747834453,0,0,0,0,-1,0
1747834454,0,1,0,0,0,0
1747834455,0,-1,0,0,-1,0
1747834456,0,0,0,0,-1,0
1747834457,0,0,0,0,-1,0
1747834458,0,0,1,0,-1,1
1747834459,0,0,-1,0,-1,0
1747834460,0,1,0,0,0,0
1747834461,0,0,1,0,0,1
1747834462,0,0,-1,0,0,0
1747834463,0,-1,0,0,-1,0
1747834464,0,0,0,0,-1,0
1747834465,0,0,0,0,-1,0
1747834466,0,0,0,0,-1,0
1747834467,0,0,0,0,-1,0
1747834468,0,0,0,0,-1,0
1747834469,0,0,0,0,-1,0
1747834470,0,1,0,0,0,0
1747834471,0,0,0,0,0,0
1747834472,0,0,0,0,0,0
1747834473,0,0,0,0,0,0
1747834474,0,1,0,0,1,0
1747834475,0,-1,0,0,0,0
1747834476,0,0,-1,0,0,-1
1747834477,0,-1,1,0,-1,0
1747834478,0,0,-1,0,-1,-1
1747834479,0,-1,0,0,-2,-1
1747834480,0,1,0,0,-1,-1
1747834481,0,1,0,0,0,-1
1747834482,0,0,0,0,0,-1
1747834483,0,0,0,0,0,-1
1747834484,0,-1,0,0,-1,-1
1747834485,0,2,1,0,1,0
1747834486,0,0,0,0,1,0
1747834487,0,1,0,0,2,0
1747834488,0,-1,0,0,1,0
1747834489,0,0,0,0,1,0
1747834490,0,-1,1,0,0,1
1747834491,0,1,-1,0,1,0
1747834492,0,0,0,0,1,0
1747834493,0,0,0,0,1,0
1747834494,0,0,0,0,1,0
1747834495,0,0,0,0,1,0
1747834496,0,0,0,0,1,0
1747834497,0,0,0,0,1,0
1747834498,0,0,0,0,1,0
1747834499,0,1,0,0,2,0
1747834500,0,-1,0,0,1,0
1747834501,0,-1,0,0,0,0
1747834502,0,0,0,0,0,0
1747834503,0,0,0,0,0,0
1747834504,0,0,0,0,0,0
1747834505,0,-1,0,0,-1,0
1747834506,0,-1,1,0,-2,1
1747834507,0,0,-1,0,-2,0
1747834508,0,1,0,0,-1,0
1747834509,0,-1,0,0,-2,0
1747834510,0,1,1,0,-1,1
1747834511,0,-2,-1,0,-3,0
1747834512,0,0,1,0,-3,1
1747834513,0,0,-1,0,-3,0
1747834514,0,2,0,0,-1,0
1747834515,0,1,0,0,0,0
1747834516,0,-1,0,0,-1,0
1747834517,0,0,0,0,-1,0
1747834518,0,-1,0,0,-2,0
